iter	Passed	Remaining
0	8	8393
1	15	7971
2	23	7848
3	30	7476
4	37	7462
5	42	7050
6	49	6953
7	52	6570
8	57	6281
9	61	6047
10	64	5791
11	67	5591
12	71	5449
13	75	5333
14	78	5150
15	83	5112
16	87	5079
17	91	4992
18	95	4945
19	100	4938
20	104	4855
21	107	4764
22	111	4717
23	116	4723
24	121	4734
25	125	4706
26	129	4678
27	134	4665
28	138	4651
29	143	4626
30	146	4578
31	151	4575
32	155	4565
33	160	4556
34	164	4545
35	169	4525
36	173	4519
37	178	4516
38	181	4479
39	185	4449
40	190	4448
41	194	4434
42	198	4424
43	203	4416
44	207	4407
45	210	4367
46	215	4363
47	219	4360
48	223	4343
49	228	4334
50	232	4317
51	236	4317
52	240	4303
53	244	4277
54	249	4280
55	253	4277
56	257	4262
57	260	4236
58	265	4239
59	270	4233
60	274	4232
61	278	4216
62	283	4221
63	288	4219
64	290	4183
65	294	4173
66	297	4148
67	301	4126
68	303	4098
69	307	4080
70	310	4061
71	313	4043
72	317	4026
73	320	4006
74	323	3993
75	327	3984
76	331	3968
77	334	3948
78	337	3938
79	342	3937
80	346	3925
81	350	3927
82	354	3917
83	359	3917
84	364	3921
85	366	3895
86	371	3900
87	376	3901
88	380	3895
89	384	3892
90	390	3896
91	394	3893
92	398	3887
93	403	3889
94	407	3880
95	412	3881
96	416	3877
97	420	3871
98	425	3870
99	428	3860
100	433	3857
101	438	3856
102	441	3848
103	447	3851
104	451	3850
105	455	3845
106	460	3839
107	464	3832
108	467	3823
109	472	3819
110	476	3815
111	481	3815
112	484	3806
113	488	3799
114	493	3797
115	497	3794
116	501	3787
117	506	3786
118	509	3770
119	513	3765
120	517	3761
121	521	3754
122	525	3745
123	530	3748
124	535	3750
125	540	3750
126	545	3749
127	548	3734
128	552	3732
129	557	3729
130	562	3728
131	567	3730
132	571	3727
133	576	3722
134	580	3722
135	585	3719
136	589	3711
137	593	3707
138	597	3703
139	600	3691
140	605	3688
141	607	3671
142	610	3658
143	614	3654
144	618	3647
145	622	3642
146	625	3630
147	629	3624
148	633	3619
149	638	3618
150	642	3614
151	647	3611
152	652	3610
153	656	3608
154	661	3604
155	664	3597
156	668	3590
157	673	3588
158	676	3580
159	681	3577
160	685	3574
161	690	3571
162	694	3567
163	699	3563
164	703	3561
165	706	3551
166	709	3536
167	713	3533
168	718	3530
169	722	3527
170	727	3527
171	731	3523
172	736	3520
173	741	3518
174	745	3514
175	750	3513
176	755	3512
177	760	3513
178	762	3498
179	767	3496
180	772	3493
